district,place,address,lat,lon,population,area_km2,traffic_score,rent_index,source
Марьино,Братиславская улица,"Москва, район Марьино, Братиславская улица",55.6507,37.7435,252600,11.97,8,0.78,"Wikipedia: Районы Москвы; ручной просмотр карт"
Отрадное,Северный бульвар,"Москва, Северный бульвар, рядом с Алтуфьевским шоссе",55.8618,37.6049,185600,10.16,7,0.86,"Wikipedia: Районы Москвы; ручной просмотр карт"
Обручевский,улица Обручева,"Москва, улица Обручева, рядом с Ленинским проспектом",55.6573,37.5364,85800,6.22,8,1.03,"Wikipedia: Районы Москвы; ручной просмотр карт"
Люблино,Краснодарская улица,"Москва, район Люблино, Краснодарская улица",55.6782,37.7599,172200,17.41,8,0.75,"Wikipedia: Районы Москвы; ручной просмотр карт"
Ярославский,Ярославское шоссе,"Москва, Ярославское шоссе, 25с3",55.8551,37.6825,100700,7.99,9,0.74,"Wikipedia: Районы Москвы; ручной просмотр карт"
Очаково-Матвеевское,Озерная улица,"Москва, улица Озерная, 33А",55.6717,37.4503,130200,17.56,8,0.82,"Wikipedia: Районы Москвы; ручной просмотр карт"
Южное Бутово,улица Поляны,"Москва, улица Поляны, 6Б",55.5424,37.5311,210900,27.03,6,0.72,"Wikipedia: Районы Москвы; ручной просмотр карт"
Строгино,МКАД 67 км,"Москва, МКАД, 67-й километр",55.8036,37.4026,160200,18.74,7,0.90,"Wikipedia: Районы Москвы; ручной просмотр карт"
Хорошевский,3-я Хорошевская улица,"Москва, 3-я Хорошевская улица",55.7774,37.5189,75400,9.98,8,1.15,"Wikipedia: Районы Москвы; ручной просмотр карт"
Левобережный,Смольная улица,"Москва, улица Смольная, 4с2",55.8574,37.4730,59400,8.95,7,0.93,"Wikipedia: Районы Москвы; ручной просмотр карт"

