district,place,address,score,population,density_people_km2,traffic_score,rent_index,osm_competitors_3km,portal_same_area,competitors_total,source
Марьино,Братиславская улица,"Москва, район Марьино, Братиславская улица",0.8,252600,21103.0,8,0.78,28,0,28,Wikipedia: Районы Москвы; ручной просмотр карт
Ярославский,Ярославское шоссе,"Москва, Ярославское шоссе, 25с3",0.735,100700,12603.0,9,0.74,22,1,23,Wikipedia: Районы Москвы; ручной просмотр карт
Отрадное,Северный бульвар,"Москва, Северный бульвар, рядом с Алтуфьевским шоссе",0.593,185600,18268.0,7,0.86,29,1,30,Wikipedia: Районы Москвы; ручной просмотр карт
Люблино,Краснодарская улица,"Москва, район Люблино, Краснодарская улица",0.571,172200,9891.0,8,0.75,22,0,22,Wikipedia: Районы Москвы; ручной просмотр карт
Очаково-Матвеевское,Озерная улица,"Москва, улица Озерная, 33А",0.444,130200,7415.0,8,0.82,28,2,30,Wikipedia: Районы Москвы; ручной просмотр карт
Обручевский,улица Обручева,"Москва, улица Обручева, рядом с Ленинским проспектом",0.415,85800,13794.0,8,1.03,50,1,51,Wikipedia: Районы Москвы; ручной просмотр карт
Хорошевский,3-я Хорошевская улица,"Москва, 3-я Хорошевская улица",0.38,75400,7555.0,8,1.15,20,1,21,Wikipedia: Районы Москвы; ручной просмотр карт
Южное Бутово,улица Поляны,"Москва, улица Поляны, 6Б",0.378,210900,7802.0,6,0.72,12,1,13,Wikipedia: Районы Москвы; ручной просмотр карт
Строгино,МКАД 67 км,"Москва, МКАД, 67-й километр",0.37,160200,8549.0,7,0.9,24,1,25,Wikipedia: Районы Москвы; ручной просмотр карт
Левобережный,Смольная улица,"Москва, улица Смольная, 4с2",0.282,59400,6637.0,7,0.93,30,1,31,Wikipedia: Районы Москвы; ручной просмотр карт
