district,place,score,expected_washes_day,price_per_wash,variable_cost_per_wash,contribution_per_wash,monthly_revenue,monthly_variable_cost,monthly_fixed_cost,monthly_profit,break_even_washes_day,payback_months
Марьино,Братиславская улица,0.8,61,950,220,730,1738500,402600,624000.0,711900.0,28.5,8.1
Ярославский,Ярославское шоссе,0.735,58,950,220,730,1653000,382800,612000.0,658200.0,27.9,8.8
Отрадное,Северный бульвар,0.593,54,950,220,730,1539000,356400,648000.0,534600.0,29.6,10.8
Люблино,Краснодарская улица,0.571,51,950,220,730,1453500,336600,615000.0,501900.0,28.1,11.6
Очаково-Матвеевское,Озерная улица,0.444,47,950,220,730,1339500,310200,636000.0,393300.0,29.0,14.7
Обручевский,улица Обручева,0.415,49,950,220,730,1396500,323400,699000.0,374100.0,31.9,15.5
Хорошевский,3-я Хорошевская улица,0.38,49,950,220,730,1396500,323400,735000.0,338100.0,33.6,17.2
Южное Бутово,улица Поляны,0.378,43,950,220,730,1225500,283800,606000.0,335700.0,27.7,17.3
Строгино,МКАД 67 км,0.37,45,950,220,730,1282500,297000,660000.0,325500.0,30.1,17.8
Левобережный,Смольная улица,0.282,42,950,220,730,1197000,277200,669000.0,250800.0,30.5,23.1
